Doctor ID,Doctor Name,Specialty,Phone Number,Years Of Experience,Hospital Affiliation,Hospital/Clinic,Specialization,Email
27561,Timothy Scott,Pediatrics,001-943-598-3570x60510,1,Thompson Group,Lozano-Kennedy,Neurology,bmorrow@gmail.com
2956,John Clay,Orthopedics,+1-965-951-4769x4455,5,Mathis-Reynolds,Fields Inc,Neurology,bbryan@logan.com
68708,David Green,Orthopedics,001-185-863-8205x690,29,"Richardson, Keller and Conley",Greer-Ryan,Orthopedics,james94@gmail.com
79847,Daniel Davis,Neurology,(048)930-7311,33,Taylor-Alvarez,"Stevens, Vega and Stuart",Pediatrics,joanna15@maddox.info
65703,Michael Carpenter,Orthopedics,(762)890-3870x666,26,Patel-Munoz,Foster-Kennedy,Neurology,matthewhernandez@armstrong.com
87676,Jeffery Clay,General Medicine,001-720-705-3574x4625,12,Armstrong-Osborn,Mcgrath Ltd,Orthopedics,thorntonherbert@kim.biz
77408,Hayley Howe,Pediatrics,+1-022-688-6943x8159,39,Adams LLC,Marshall Group,Cardiology,brodriguez@bridges.biz
35420,Megan Richards,Pediatrics,+1-684-507-7117x25806,9,Powell-Bean,Allen Inc,Cardiology,fcunningham@villanueva-blair.org
95507,Michael Christensen,Neurology,(991)944-8870x395,7,Powell-Stevens,Ramirez Group,Orthopedics,tammy13@gmail.com
55144,Scott Calhoun,Orthopedics,(926)943-7358x19327,32,Valdez Group,Buchanan Inc,Neurology,julie74@yahoo.com
19341,Cindy Miller,Pediatrics,(421)501-9136,26,Turner-Hanna,Mcmillan PLC,Neurology,knightheather@nguyen.net
77003,Robert Gonzalez,Orthopedics,974.599.3536x39727,23,Woods Ltd,Brown Group,Cardiology,lucas21@gmail.com
95256,Sarah Cole,Neurology,923-272-3379x515,8,"Hill, Vang and Anderson",Martinez-Morris,Pediatrics,garciajoshua@lester.net
94492,Jay Avila,General Medicine,(678)196-6992,35,"Anderson, Perry and Lewis","Reese, Whitney and Lee",Cardiology,jennarodgers@roberts.com
52022,Brandon Mills,General Medicine,2026251648,19,Rodriguez Inc,"Esparza, Blake and Dunn",Neurology,daniel82@boyd.com
61154,Judith Holloway,Neurology,7719990919,3,Williams-Bradford,Stevens Ltd,General Medicine,melvintaylor@hotmail.com
94108,Jorge Howard,General Medicine,787.746.1416x710,1,Hunt Group,"Wood, Young and Noble",General Medicine,frazierdaniel@jones.com
43070,Sara Calderon,Pediatrics,427-112-0335x633,19,Johnson-Johnson,Curry Ltd,Neurology,fbell@ball.com
53533,Danielle Cobb,Pediatrics,+1-070-155-0468x13579,23,Yates-Howell,Allen-Stark,Cardiology,elizabethjones@clayton.com
5042,Christopher Brown,Cardiology,480-805-6235,28,Spears PLC,"Hart, Vazquez and Cole",Orthopedics,kathleenrosario@gmail.com
36011,Patricia Reilly,Cardiology,+1-310-723-6731x448,27,"Saunders, Ray and Espinoza","Jones, Berry and Lozano",Neurology,brandiprice@gmail.com
10279,Misty Murillo,Orthopedics,1733711439,23,"Cortez, Fitzpatrick and Soto",Summers-Barnes,Neurology,meghanbolton@yahoo.com
88353,Tyrone Franklin,Neurology,848.338.0590x696,7,Morris LLC,Smith-Hill,Orthopedics,haley48@hernandez.com
23945,Nicholas Martinez,Cardiology,932-894-4976x0301,3,"Carter, Herring and Myers","Foster, Evans and Wallace",Neurology,stephanie71@gmail.com
16288,Dr. Matthew Collins DDS,Pediatrics,+1-693-391-8329x89284,21,Calhoun Inc,Hayes LLC,Neurology,stephen52@yahoo.com
62232,Rebekah Perez,General Medicine,+1-440-542-3964,18,"Mason, Krause and Elliott","Sampson, Jones and Jones",Neurology,rick35@lewis-casey.org
65754,Michael Briggs,Pediatrics,457-539-8089x38911,3,Ingram-Hill,Tucker Ltd,Orthopedics,rbrown@yahoo.com
21087,Steve Schroeder,Cardiology,+1-732-083-1746x87226,12,Deleon-Martin,"Poole, Lynch and Roth",Cardiology,lopezaustin@yahoo.com
18458,Jonathan Hernandez,Neurology,001-177-385-1960x7917,36,Williams and Sons,Warren Inc,Orthopedics,millercarolyn@bender.org
15480,Christopher Harris,Pediatrics,(240)068-8684,34,"Wood, Johnson and Byrd","Smith, Webster and Edwards",Orthopedics,brendarobinson@gmail.com
8155,Gregory Perez,Pediatrics,316.646.7741,5,Williams and Sons,Moran-Weber,Pediatrics,jillpetersen@patel.org
10760,Brent Rodriguez,Cardiology,101.717.7622x39774,29,Austin PLC,Hardy-Hughes,Cardiology,joseph93@peck-chan.net
94037,Zachary Berger,General Medicine,(032)287-9740x6003,27,"Hudson, Price and Santos","Finley, Mckee and Todd",Orthopedics,rachel62@phillips.com
48904,Seth Ramos,Orthopedics,356-365-7037x177,28,Jenkins-Booth,Floyd-Christensen,Orthopedics,nking@hotmail.com
56372,Theresa Gibson,Pediatrics,(944)827-9454x15195,17,Smith-Bell,Cummings Group,Orthopedics,martinsydney@cox.com
44392,Dana Osborn,Pediatrics,0366844672,30,Stewart Ltd,"Humphrey, Thompson and Reyes",Neurology,krista28@anderson.com
68670,Alyssa Mcguire,Pediatrics,653-799-8046,14,Smith Ltd,"Mcintyre, Church and Gonzales",Pediatrics,cameronhughes@grimes.com
91175,Brittney Diaz,General Medicine,155-679-0030,26,Frey LLC,"Greer, Hammond and Gallagher",Orthopedics,clarkjoshua@james.com
75151,Dawn Ramirez,Cardiology,540.955.3000,6,Aguilar-Sims,Melton-Beck,Neurology,leecody@yahoo.com
63353,Emma Morales,Cardiology,414-035-7042x6216,26,"Guzman, Hopkins and Miller",Eaton Inc,Pediatrics,richard85@long.org
30696,Stephanie Fields,Pediatrics,+1-089-427-7853x43373,36,"Chen, Saunders and Young","Stewart, Garcia and Wilson",Neurology,millerbethany@cruz.com
80599,Robert Alvarez,Orthopedics,(798)755-0608x5745,37,Barr-Davis,Lee-Bowers,General Medicine,whampton@gmail.com
49333,Victor Smith,Neurology,+1-830-715-7000x815,16,Price-Moore,Williams Ltd,General Medicine,rebeccagarcia@henry-gilbert.info
4374,Mr. Danny Fischer,Pediatrics,001-759-516-9149x629,7,Robertson Inc,Wise LLC,Neurology,robinsonmichael@hotmail.com
82889,Zachary Campbell,Cardiology,855-840-8704x5452,11,Day-Bauer,Rogers-Chandler,Orthopedics,michaelhebert@johnson.com
95825,James Day,Pediatrics,225-966-5594x0098,13,Robertson PLC,Trujillo Inc,Pediatrics,ereid@gmail.com
24262,Joel Lee,Cardiology,+1-410-926-2491,34,"Moore, Smith and Cruz",Grant Group,Neurology,sgutierrez@miller.info
88643,Natalie Hill,Pediatrics,556-649-1474,33,Freeman Group,"Patterson, Davis and Torres",Orthopedics,michael09@hotmail.com
76674,Megan Woodard,Pediatrics,(785)669-7119,5,Johnson-Crawford,Flores-Mcdonald,General Medicine,uharrison@carter.com
17207,Robert Barrett,General Medicine,6282105867,18,"Arnold, Shelton and Pierce",Jones-Fuller,Pediatrics,timhoward@castillo.com
91853,Steven Hill,Orthopedics,2528580910,36,Cooley Group,"Trujillo, Medina and Graham",Cardiology,derek81@yahoo.com
38349,Richard Pineda,Neurology,+1-646-000-9146x3461,36,"Patrick, Briggs and Nguyen",Adkins Group,Pediatrics,perezjonathan@guzman.com
51676,Mandy Smith,Cardiology,001-073-700-4850x06258,14,Mccann PLC,Nelson-Medina,Neurology,ccarroll@day-brown.org
4889,Eric Martinez,Neurology,911.342.4285x5997,15,Holland Group,"Riddle, Holmes and Sutton",Neurology,nhines@yahoo.com
8152,Hannah Martin,Orthopedics,+1-433-003-9634x49174,37,Gutierrez-Griffin,Wilson-Alvarez,Pediatrics,gutierrezkristen@sanchez.info
92004,Gary Ramirez,Neurology,(047)825-5153x6168,30,Wolf LLC,Lopez-Martinez,Cardiology,barbara90@yahoo.com
9738,Leah West,General Medicine,749-121-2628x97738,13,Willis Group,Velazquez Inc,Pediatrics,zamorazachary@gmail.com
85792,Joel Hernandez,General Medicine,906.110.4361x33218,38,Massey PLC,Adams-Blake,Neurology,jacksonwanda@gmail.com
72321,Marc Ortega,General Medicine,658.723.0324,19,Fisher-Elliott,"Thomas, Patel and Brown",Pediatrics,phyllis38@dodson-henry.com
81435,Melissa Davis,Neurology,001-062-981-3268x966,18,Anderson Inc,"Murray, Hutchinson and Kelly",Cardiology,fdennis@gmail.com
17804,Kathy Ross,Pediatrics,+1-880-174-8053x64377,25,Shepherd LLC,"Johnson, Farmer and Wallace",Cardiology,sawyertanya@hotmail.com
44927,Pamela Bryant,Cardiology,001-130-576-5839x007,15,"Tran, Williams and Rocha","Grimes, Pineda and Ramirez",Neurology,qjackson@yahoo.com
36762,Michael Sanchez,Neurology,5544600786,6,Moore-Owens,Powell-Fitzgerald,Orthopedics,sandersjason@duran-hall.com
11970,Sara Burton,Pediatrics,(602)147-7549x376,35,Thomas LLC,Brock LLC,General Medicine,lboyd@gmail.com
86156,Victoria Turner,General Medicine,439-147-9289x1628,3,Nichols-Young,"Brown, Hebert and Alvarez",General Medicine,nturner@chandler.com
39647,Jessica Tran,Pediatrics,(542)924-9385x23763,9,"Roberts, Holt and Herrera","Flores, Pena and Chaney",Cardiology,ufrazier@gmail.com
39822,Christian Fowler,General Medicine,(095)362-5061x81279,4,"Rosales, Wallace and Bruce","Ortiz, Myers and Ryan",Cardiology,mackenziestark@yahoo.com
59917,Charles Woodard,Orthopedics,001-314-466-9977x607,32,Sims-Baker,Nash Inc,Neurology,kristinaphillips@yahoo.com
52086,John Wallace,General Medicine,810.127.2600x46771,8,Hubbard-Lewis,"Collins, Garrison and Collins",Orthopedics,fosborn@hotmail.com
67634,Mr. Zachary Becker MD,Neurology,+1-151-047-5709x910,1,Gutierrez-Solis,Solomon-Payne,Orthopedics,andrew63@sullivan.info
8993,Dustin Cox,General Medicine,(907)244-4145x1363,4,"Long, Tucker and Hopkins",Jones Group,Neurology,gdunn@kennedy.com
21198,Joshua Hill,Orthopedics,8081080117,30,Henry-Owens,Rios-Logan,General Medicine,hudsoncarol@nguyen.com
44705,Jacqueline Rogers,Pediatrics,001-440-294-3898x67046,27,"Owen, Hanson and Elliott",Williams Ltd,General Medicine,lisa12@campbell-vargas.biz
32758,Jeffery Clark,Neurology,+1-989-581-2479x9227,39,"Garrison, Cook and Steele",Sosa-Martinez,Cardiology,megan79@thomas-gomez.com
99111,Joshua Scott,Orthopedics,(186)886-0841x885,13,"Braun, Turner and Lang","Hernandez, Whitaker and Rojas",General Medicine,eodom@thornton.com
71978,Yvette Villanueva,Neurology,746.314.2786x7191,32,Greene-Donovan,Ray-Henson,General Medicine,lori75@gmail.com
21430,Amy Todd,General Medicine,+1-578-168-6381,18,"Young, Sullivan and Thomas",Harper-Carlson,Pediatrics,christopher12@hotmail.com
10941,Keith Terrell,Cardiology,+1-837-245-7811x34174,37,"Bell, Bartlett and Cruz",Brooks and Sons,Orthopedics,lfreeman@fry-gutierrez.com
99522,Jeffrey Bridges,Neurology,(260)822-7843,18,Knight LLC,Richardson-Anderson,Orthopedics,nortonjohn@torres-davenport.info
753,Elaine Garrison,Neurology,(876)478-8328x8474,39,Roberts-Jacobs,Morris Ltd,Cardiology,dennis86@yahoo.com
59475,Michael Floyd,Neurology,001-011-960-1595x183,10,Jackson and Sons,"Carroll, Ritter and Hernandez",General Medicine,juarezrobert@yahoo.com
81251,James Lowery,Cardiology,515.272.6391,35,Lee-Ortega,Rodriguez-Harris,Neurology,taylorbrittany@gmail.com
23635,Christine Mccarthy,Orthopedics,042-105-6007x06863,24,Houston-Reed,Rodriguez-Golden,Pediatrics,calhounbrandon@yahoo.com
84622,Christopher Tran,Orthopedics,791-122-6112,36,Burton Ltd,"Meyer, Romero and Livingston",Neurology,patriciagreen@yahoo.com
15708,Angela Howell,Cardiology,631-329-5668,30,Mendez-Garcia,Bautista Inc,Neurology,vanessa42@gmail.com
74060,Robin Henderson,Pediatrics,(171)581-8765x9429,33,"White, Pearson and Johnson",Kelly-Herring,General Medicine,lloyddiane@gmail.com
78894,Jacob Lopez,General Medicine,+1-807-722-7724x8118,33,Curtis-Carson,"Little, Diaz and Snyder",General Medicine,reaton@hotmail.com
4975,Ryan Jones,Orthopedics,202.761.2714,6,Jones-Stevens,Maldonado-Garcia,Neurology,nnunez@boyd.info
75025,Dale Boyd,Orthopedics,001-793-155-6602x8089,35,"Sanders, Dawson and Atkinson",Bowers-Collins,Orthopedics,shawnjohnson@gmail.com
19774,Mr. Richard Martinez DDS,General Medicine,403-492-1979,33,"Esparza, Bradshaw and Stewart","Salazar, Hunt and Lee",Neurology,washingtonjacob@johnson.com
84787,Taylor Black,Cardiology,062-960-8724x95640,38,"Petersen, Guzman and Williams",Jones-Wilson,Neurology,angelicawilson@hotmail.com
80821,Lawrence Beard,Neurology,+1-733-664-3520x65393,15,"Bowen, Lam and Hartman",Brady Ltd,Pediatrics,robertsonshelby@gmail.com
14251,Dominique Garcia,Orthopedics,(202)964-7226x6343,33,"Smith, Solis and Lopez",Dunlap Inc,General Medicine,thomasshawn@rodriguez.net
62761,Misty Young,Cardiology,642.055.1506,3,Howell-Wu,"Adams, Robinson and Hopkins",Pediatrics,jeanneowens@sanchez.com
90213,Shawn Wolfe,General Medicine,627.066.6669x052,4,Matthews LLC,Lyons-Walls,Orthopedics,kellisolomon@gmail.com
25907,Lori Brock,Cardiology,+1-861-712-5849x757,22,Robinson Group,Haas and Sons,Neurology,carol22@williams.com
31298,Barbara Hartman,General Medicine,693-230-0965x6027,12,Miller Inc,"Rose, Espinoza and Hall",Pediatrics,tmayer@hotmail.com
28912,Glen Williams,Orthopedics,647.171.0945x61464,15,Diaz-Taylor,"Smith, Mccarty and Hawkins",Cardiology,cmccall@garcia-bush.com
74233,Theodore Austin,Cardiology,521.815.2736,13,Jones-Hicks,Smith LLC,Pediatrics,tiffany33@king.com
56688,Marilyn Mclean,General Medicine,900.838.6070,36,Huerta-White,Peterson Ltd,General Medicine,deannasmith@fitzpatrick-johnson.com
36777,Stacey Hawkins,Neurology,(834)505-7630,23,"Perez, Hogan and Lopez","Morgan, Smith and Peters",General Medicine,flemingrichard@yahoo.com
62181,Brian Galvan,Pediatrics,198.827.3592x7995,37,Trujillo PLC,Morgan Inc,Neurology,hollyellis@hotmail.com
34520,Daniel Bridges,Orthopedics,(497)486-2148x49113,9,Young-Wilson,Barber-Morgan,Cardiology,martin40@gmail.com
45767,William Woods,Pediatrics,+1-737-699-8533x974,24,Mann Ltd,Moore-Villa,General Medicine,bensonaustin@rodgers.com
38016,Kristin Garcia,Orthopedics,412-564-9582,5,"Lowe, Simpson and Lynch","Jones, Castillo and Velazquez",Orthopedics,mitchellmichael@jones.com
47250,Eric Martinez,Neurology,902-659-2301x084,34,"Mathews, Edwards and Miller",Jones-Glass,General Medicine,christopher88@moore.com
33257,Joshua Guzman,Orthopedics,338-648-6871,18,Matthews-Johnson,Garcia Group,Cardiology,browncynthia@scott-carroll.com
41387,Nicole Smith,General Medicine,1318871084,13,"Perez, Miller and Kelley",Hines-Parks,Cardiology,mbecker@gates-bender.biz
62449,Justin Trujillo,Cardiology,(852)681-5005,24,Lopez-Reynolds,Ryan Ltd,Orthopedics,jfoley@hotmail.com
7592,Jeff Harris,Pediatrics,001-317-187-0215,16,Brown Inc,Bowen-Campos,Orthopedics,christinabrewer@navarro.biz
47406,Jessica Mitchell,Cardiology,(143)776-3409x621,35,Brown Inc,Gonzalez Group,Neurology,dawn37@gmail.com
38539,Carlos Mccarthy,Neurology,755-629-6253x5156,30,"Garner, Kim and James",Garcia Group,Cardiology,martinezjacob@hotmail.com
97020,Chelsea Cohen,Orthopedics,8650242627,26,"Hunter, Carroll and Henry","Carroll, Nelson and Johnson",Neurology,stephen08@sullivan.info
90297,Monica Crosby,Neurology,553.858.4445x648,35,"Miller, Carpenter and Kramer",Carlson-Medina,Orthopedics,haleyhughes@bush.com
37744,Bill Tucker,Orthopedics,+1-605-422-0326,11,Davis-Barnes,Murphy Ltd,Pediatrics,bmercer@gmail.com
36589,Lisa Haney,Pediatrics,644-790-7812x10727,16,"Bowen, Simpson and Melendez","Silva, Rice and Shaw",Cardiology,kleintroy@gmail.com
93697,Ethan Ward,General Medicine,+1-665-951-7634x57715,36,White and Sons,"Petty, Reyes and Flynn",Neurology,taylorjennifer@miller.net
87482,Jeremy Sanchez,Pediatrics,(763)284-4516,20,Armstrong LLC,Ashley-Parker,Pediatrics,zstephens@hotmail.com
60086,Brenda Preston,Orthopedics,+1-406-793-1994,28,Carney-King,Dudley PLC,General Medicine,ngreene@hotmail.com
61234,Emily Bauer,Neurology,918.680.2717,27,Galvan and Sons,English-Nelson,Orthopedics,robinsonroy@yahoo.com
84625,John Downs,Orthopedics,233.376.0572,38,Vasquez-Smith,Parker PLC,General Medicine,christopher03@gmail.com
86534,Jonathan Newman,Neurology,+1-703-166-0045x7357,22,Miller-Montoya,Smith-Lopez,Neurology,amanda00@gmail.com
48382,Donald Foster,Pediatrics,+1-445-025-0322,30,David-Murray,Ferguson LLC,General Medicine,vhull@yahoo.com
18981,Joshua Butler,General Medicine,145.693.6918,12,"Mcclure, Lucas and Boyer",Bird-Franklin,Neurology,danielcollier@russell.info
54851,Gina Sharp,General Medicine,065-444-1949,32,Franklin Ltd,Moyer PLC,Orthopedics,samanthamiller@mitchell-richardson.net
66302,Gabriela Nguyen,General Medicine,001-793-059-4450x469,15,Brown-Norton,Henry-Brewer,Neurology,joshuasmith@hotmail.com
50127,Kaitlyn Jackson,Cardiology,(537)290-8236x5983,5,"Griffin, Davis and Fields","Martinez, Russell and Alexander",Orthopedics,amanda02@garcia-oconnor.com
70862,Maria Mckinney,General Medicine,001-607-264-9183x82609,26,Bullock-Fox,Adkins PLC,Cardiology,natalie06@jackson.org
45256,Christine Mcguire,Neurology,7592441865,14,Berg PLC,Webster LLC,Neurology,robertwilliams@nunez-harmon.biz
32308,Billy Shelton,Neurology,632-096-1589,16,Page and Sons,"Torres, Bishop and Holt",Neurology,williamselizabeth@lewis.com
92415,Stephen Elliott,Cardiology,557-617-9277,11,Henry and Sons,Gonzalez-Esparza,Orthopedics,ymack@howard.com
87904,Edward Johnson,Pediatrics,298.409.7897x72457,6,Bennett Ltd,Larson-Cox,Cardiology,lorraine19@glass.com
3577,Phillip Jackson,Neurology,001-621-852-9933x04217,28,Russell-Payne,"Watson, Vaughn and Castaneda",Cardiology,kimberly52@gmail.com
18151,Elizabeth Morgan,Neurology,+1-209-413-1326x1300,27,Reyes-Ford,Gentry LLC,Cardiology,alexandriagallegos@yahoo.com
9620,Tyler Thompson,Neurology,001-109-840-8764x33908,2,Norton-Washington,"Martinez, Crawford and Zhang",Cardiology,eugenetaylor@gmail.com
36952,Richard Brown,Neurology,2492287017,32,Murray LLC,Flores-Jenkins,Cardiology,mcintyretodd@neal.com
21255,Taylor Ferguson,Pediatrics,617.536.1371,22,"Reyes, Lee and Thompson",Stewart Ltd,Orthopedics,proctormariah@ortiz.biz
25903,Natasha Crane,Neurology,+1-747-522-4400,12,"Diaz, Booth and Cruz",Cunningham Inc,Pediatrics,williamrussell@gutierrez.com
77380,Katherine Kelly,Orthopedics,001-253-939-0305,13,"Morrison, Hughes and Smith",Perry-Montgomery,Orthopedics,ecastro@gutierrez.com
30406,Micheal Coleman,Orthopedics,320-109-2790,23,Jones-Mann,Cox LLC,General Medicine,pamelaabbott@marsh.net
51945,Misty Rodriguez,Orthopedics,596-253-0268,6,"Mcdowell, Morgan and Diaz","Contreras, Clayton and Vaughn",Neurology,gharrison@williams.com
54379,Michael Washington,General Medicine,819.436.8351x68157,25,"Robinson, Gray and Andersen","Martin, Daniels and Reed",Cardiology,robertkeller@yahoo.com
31842,Theresa Reyes,Pediatrics,845.340.4111x31886,17,Murray Group,Tran-Williams,General Medicine,randolphnicholas@yahoo.com
20376,Daniel Martinez,Orthopedics,0920819127,38,Martin Ltd,"Roth, Brown and Roberts",General Medicine,zsheppard@hotmail.com
95884,Daniel Wilkinson,Cardiology,004.352.9055x57331,20,Walters Group,Davis Group,Pediatrics,brandonclements@joseph.net
23607,Stephanie Jones,Cardiology,303.275.7638x73313,17,"Hamilton, Ross and Curry","Myers, Hansen and Perez",Orthopedics,jeremy74@gmail.com
97630,Austin Rogers,Cardiology,912-895-4227,24,Anderson and Sons,"White, Franklin and Lang",Pediatrics,zwilson@walker.com
79069,Michael Davis,Cardiology,932.692.0557,8,Beck and Sons,Diaz Group,Pediatrics,chaney@hotmail.com
12316,James Bates,Pediatrics,001-111-646-2004x0908,29,Young LLC,"Blair, Rivers and Tanner",Cardiology,danaperez@williamson.biz
68639,Edward Bennett,Neurology,802-167-2159,33,Castillo-Anderson,"Owens, Allen and Ortiz",General Medicine,nguyensarah@hotmail.com
39073,Tiffany Quinn,General Medicine,(093)907-0118x576,32,Jackson Group,Perez LLC,Orthopedics,anthony06@yahoo.com
59569,Jack Watson,Neurology,(924)757-3197x24573,15,Jenkins LLC,Kaufman-Weaver,Neurology,sabrinamatthews@yahoo.com
85217,Crystal Mann,Orthopedics,548.203.9830,24,Barber-Mathews,Dudley Ltd,Neurology,gilbert07@gmail.com
58540,Don Bentley,Neurology,001-634-914-0657x643,26,Powers-Ray,Santos Inc,General Medicine,josephmartin@ayers.com
46292,Gabriela Hart,Cardiology,095-940-5703x4750,39,Berry Ltd,Wilcox LLC,Orthopedics,mcdanieladam@yahoo.com
65726,Rachel Baxter,Pediatrics,(162)645-6613,19,Smith and Sons,Ford-Obrien,General Medicine,melinda55@horton-benson.com
85114,April Johnson,Cardiology,3010509819,2,Miller and Sons,Martin PLC,General Medicine,adam14@maldonado-schwartz.info
64158,Benjamin Patel,General Medicine,022-595-7896x09518,18,"Williams, Simmons and Jones",Cuevas-Rodriguez,Cardiology,stephen27@contreras-johnson.com
28337,Nancy Garcia,Pediatrics,+1-296-090-4801x3985,7,"Moore, Browning and Hughes",Wolfe-Cook,Cardiology,sarakent@hotmail.com
47060,James Farmer,Pediatrics,001-486-242-4534x8656,25,Boyd-Carter,Campbell LLC,Neurology,david53@gmail.com
75392,Stacy Savage,General Medicine,001-236-979-3355x34324,30,"Young, Roth and Carter",Clark PLC,Pediatrics,johnsonrebekah@fisher.biz
82634,Jay Chapman,Cardiology,5747910280,34,"Washington, Johnson and Terry","Gould, Harris and Scott",Neurology,frymichael@gmail.com
84392,Erik Thomas,Orthopedics,001-006-295-3322x944,19,"Cochran, Price and Kaufman",Lawrence-Poole,Neurology,emily31@taylor.info
16324,Jenna Moore,Cardiology,001-836-170-5647,8,"Bautista, Olson and Roth",Middleton Group,Cardiology,mark11@roberson.net
2224,Christine Nguyen,Orthopedics,(333)514-4439x2144,35,Morales-Alexander,White-Christian,Pediatrics,mendezphillip@hotmail.com
41057,Mark Campbell,General Medicine,(084)013-1659,37,"Hill, Rogers and Lowe",Gutierrez PLC,Orthopedics,ariel60@turner.com
38503,Danielle Christensen,General Medicine,001-994-295-1042,36,"Jones, Acevedo and Nichols",Hall and Sons,Cardiology,paulahunter@hotmail.com
91972,William Logan,Pediatrics,054.336.8736,23,Johnson Ltd,Koch-Morgan,Pediatrics,rayjeff@hotmail.com
2550,Michael Stevenson,Cardiology,+1-921-712-5887,4,Cox PLC,"Barry, Nelson and Matthews",Pediatrics,danacervantes@yahoo.com
46353,Sandra Bray,Orthopedics,599.767.4719x3813,1,White PLC,Zuniga-Marquez,General Medicine,albertsmith@chen.org
35492,Danny Wilson,Orthopedics,001-265-077-3215x6409,11,"Lane, Collins and Riggs","Bailey, Duncan and Harmon",Cardiology,whitealex@gmail.com
21235,Kimberly Hill,Cardiology,+1-755-432-9772,22,"Reed, Bullock and Logan","Dawson, Hunter and Evans",Neurology,fieldscharles@gmail.com
39002,Kristina Lee,General Medicine,509.471.1907x85585,10,Odonnell-Dennis,Escobar-Thompson,Neurology,angela14@hotmail.com
28305,Sharon Ford,Pediatrics,001-249-895-6667x84855,36,Lindsey Group,"Lewis, Price and Ward",Neurology,youngjonathan@coleman.info
26028,Annette Deleon,Pediatrics,+1-475-565-4298,8,Ramsey-Harrison,Hansen-Knight,Pediatrics,mary33@thomas.org
6790,Kevin Werner,Cardiology,044-082-6904x230,14,Murray-Huynh,"Smith, Daniels and Acevedo",General Medicine,brandonroberts@hotmail.com
80495,Sheri Bridges,General Medicine,620-354-3781x0250,4,Richard Inc,Gomez-Price,Pediatrics,kgentry@reynolds.info
41150,Jeremy Bowen PhD,General Medicine,3771188757,5,Garcia-Hayes,Castro and Sons,Cardiology,thomasparker@garcia.org
99403,Michael Ruiz,General Medicine,083.508.0167x09214,23,James Group,Huynh-Jordan,Cardiology,davidmoore@gmail.com
846,Maria Fleming,Cardiology,883-558-0641,6,Dixon and Sons,"Graham, Patterson and Holloway",Orthopedics,chavezheidi@newman.com
63724,Michelle Graham,General Medicine,490-544-5854,35,"Lam, Edwards and Barton",Mcdaniel-Harris,Cardiology,ngreen@vance.biz
69444,Ashley Johnson,Neurology,001-073-517-6482x044,7,Harding Group,Jones-Lopez,General Medicine,timothymolina@gmail.com
37566,Calvin Cooper,Neurology,145.593.4408x75655,11,Gilbert LLC,Manning-White,General Medicine,ujones@yahoo.com
50743,Matthew Guerrero,General Medicine,648-612-0492,13,Day PLC,"Walker, Liu and Wolf",Pediatrics,kellymark@gmail.com
37654,Kirsten Brown,Neurology,001-879-886-0116,8,Estrada and Sons,"Henson, Nelson and Murray",General Medicine,pvaughan@miller-pineda.com
86012,Elizabeth Brown,Pediatrics,6008798259,38,Smith PLC,"Walker, Cook and Cox",Orthopedics,jyoung@rivera.com
27544,Steven Bailey,Cardiology,177-314-8803x86839,15,"Graham, Ward and Parker",Rivera Group,Pediatrics,johnmartinez@hotmail.com
92498,Tracy Cunningham,Orthopedics,(469)906-4751,2,Torres-Wilson,Newton Ltd,Neurology,rperez@cabrera-green.org
95333,Jessica Parks,Cardiology,094.391.7131,11,Lowe-Smith,"Peterson, Garrett and Perez",Pediatrics,fsuarez@yahoo.com
52448,Brian Garcia,Neurology,(146)319-0174x26425,23,Marshall Group,"Schwartz, Lee and Gonzalez",Pediatrics,wilkinsonwilliam@quinn-murray.com
58811,Luke Welch,General Medicine,+1-263-456-3487,31,Fitzgerald PLC,Gray Inc,Pediatrics,russellamy@yahoo.com
92883,Stephen Rodriguez,Pediatrics,596-402-4475x509,20,Sparks Group,Ponce-Cruz,General Medicine,jacksonjoshua@johnson.com
33373,Jesus Myers,Cardiology,(442)372-7112,18,"Russell, Davis and Mitchell",Smith Group,Neurology,mirandashepard@hotmail.com
89724,Rebekah Casey,General Medicine,454.005.4623x960,14,Ashley-Brown,Walsh-Ross,Orthopedics,john99@gmail.com
51161,Robert Tran,General Medicine,(582)481-7349x624,8,Hobbs-Weaver,"York, Young and Haley",Cardiology,johncisneros@yahoo.com
39479,Richard Hall,General Medicine,(574)425-6918,9,"King, Martin and Mendez","Howell, Webb and Brown",Cardiology,ronaldsmith@gmail.com
85808,Jordan Calhoun,Cardiology,001-650-494-2625x7427,38,Anderson Group,Randall and Sons,Cardiology,kbrewer@newton.org
15591,Christopher Perkins,Cardiology,367-553-9706,4,Hull-Cruz,Kennedy LLC,General Medicine,thompsonblake@watson.com
70011,Lisa Rodriguez,Pediatrics,848.215.7801x4964,28,"Williams, Velazquez and Long",Mendoza-Cuevas,Pediatrics,stephanie90@allen.com
15453,Robert Collins,Cardiology,+1-909-713-3793x7808,34,"Frey, Butler and Myers","James, Horn and Jackson",General Medicine,michael85@ward-bailey.info
16167,Andrew Williams,Neurology,4853555588,29,Hinton-Rojas,Christian-Washington,Orthopedics,traci71@stanley-diaz.com
16684,Amy Preston,Neurology,001-019-172-4249,26,Macdonald-Harrington,Burke-Lozano,Cardiology,aaron21@hotmail.com
60255,Mary Castro,Orthopedics,(063)644-2646,25,Bean-Haney,"Forbes, Martinez and White",General Medicine,brendachase@hotmail.com
